run,sets_ops,sets_hits,sets_misses,sets_avg_lat,sets_p50,sets_p99,sets_p999,sets_kb,gets_ops,gets_hits,gets_misses,gets_avg_lat,gets_p50,gets_p99,gets_p999,gets_kb,tot_ops,tot_hits,tot_misses,tot_avg_lat,tot_p50,tot_p99,tot_p999,tot_kb
29,10638.64,0.0,0.0,0.751,0.711,1.335,2.023,1827.3,42552.19,38.66,42513.52,0.75,0.711,1.335,2.023,1662.52,53190.82,38.66,42513.52,0.0,0.711,1.335,2.023,3489.82
30,10636.58,0.0,0.0,0.751,0.711,1.319,1.951,1826.95,42543.34,38.7,42504.65,0.751,0.711,1.327,1.943,1662.18,53179.92,38.7,42504.65,0.0,0.711,1.327,1.943,3489.12
31,10802.55,0.0,0.0,0.74,0.703,1.319,1.943,1855.46,43207.78,39.46,43168.31,0.739,0.703,1.319,1.927,1688.15,54010.33,39.46,43168.31,0.0,0.703,1.319,1.935,3543.61
32,10680.65,0.0,0.0,0.748,0.711,1.303,1.911,1834.52,42720.26,38.66,42681.59,0.747,0.711,1.303,1.911,1669.06,53400.91,38.66,42681.59,0.0,0.711,1.303,1.911,3503.58
33,10652.28,0.0,0.0,0.751,0.711,1.335,1.991,1829.65,42606.39,38.73,42567.66,0.749,0.711,1.335,2.015,1664.64,53258.67,38.73,42567.66,0.0,0.711,1.335,2.007,3494.28
34,10738.7,0.0,0.0,0.744,0.711,1.319,1.911,1844.49,42952.15,39.16,42912.99,0.743,0.711,1.311,1.919,1678.16,53690.85,39.16,42912.99,0.0,0.711,1.311,1.919,3522.65
35,10544.44,0.0,0.0,0.758,0.719,1.359,2.079,1811.13,42175.3,38.66,42136.63,0.757,0.719,1.351,2.031,1647.84,52719.74,38.66,42136.63,0.0,0.719,1.351,2.039,3458.96
36,10619.02,0.0,0.0,0.753,0.711,1.327,1.927,1823.93,42473.37,38.66,42434.7,0.752,0.711,1.327,1.911,1659.45,53092.38,38.66,42434.7,0.0,0.711,1.327,1.919,3483.38
37,10530.69,0.0,0.0,0.759,0.711,1.343,2.063,1808.76,42120.65,38.66,42081.99,0.758,0.711,1.335,2.031,1645.71,52651.34,38.66,42081.99,0.0,0.711,1.335,2.039,3454.47
38,10925.17,0.0,0.0,0.732,0.695,1.295,1.879,1876.52,43697.79,40.13,43657.66,0.731,0.695,1.295,1.879,1707.33,54622.97,40.13,43657.66,0.0,0.695,1.295,1.879,3583.85
