run,sets_ops,sets_hits,sets_misses,sets_avg_lat,sets_p50,sets_p99,sets_p999,sets_kb,gets_ops,gets_hits,gets_misses,gets_avg_lat,gets_p50,gets_p99,gets_p999,gets_kb,tot_ops,tot_hits,tot_misses,tot_avg_lat,tot_p50,tot_p99,tot_p999,tot_kb
29,6481.85,0.0,0.0,1.231,0.711,10.943,12.287,1113.31,25924.54,26.66,25897.88,1.233,0.711,10.943,12.287,1013.24,32406.39,26.66,25897.88,1.0,0.711,10.943,12.287,2126.55
30,6619.24,0.0,0.0,1.212,0.703,10.879,12.287,1136.9,26474.55,26.66,26447.89,1.205,0.703,10.879,12.287,1034.66,33093.79,26.66,26447.89,1.0,0.703,10.879,12.287,2171.56
31,6256.23,0.0,0.0,1.277,0.711,11.135,12.415,1074.56,25022.29,26.66,24995.62,1.277,0.711,11.135,12.415,978.09,31278.52,26.66,24995.62,1.0,0.711,11.135,12.415,2052.65
32,6251.51,0.0,0.0,1.282,0.711,11.007,12.351,1073.75,25003.63,26.66,24976.97,1.277,0.711,11.007,12.351,977.36,31255.14,26.66,24976.97,1.0,0.711,11.007,12.351,2051.11
33,6731.85,0.0,0.0,1.194,0.695,10.815,12.287,1156.24,26924.65,26.66,26897.98,1.185,0.695,10.751,12.287,1052.2,33656.49,26.66,26897.98,1.0,0.695,10.815,12.287,2208.44
34,6499.1,0.0,0.0,1.226,0.695,10.815,12.351,1116.28,25993.79,26.66,25967.13,1.23,0.695,10.815,12.351,1015.93,32492.89,26.66,25967.13,1.0,0.695,10.815,12.351,2132.21
35,6619.19,0.0,0.0,1.209,0.703,10.495,12.223,1136.9,26473.83,26.66,26447.17,1.206,0.703,10.495,12.223,1034.63,33093.02,26.66,26447.17,1.0,0.703,10.495,12.223,2171.53
36,6475.01,0.0,0.0,1.235,0.695,10.751,12.287,1112.14,25897.59,26.66,25870.93,1.233,0.695,10.815,12.287,1012.19,32372.6,26.66,25870.93,1.0,0.695,10.815,12.287,2124.32
37,6780.45,0.0,0.0,1.177,0.687,10.431,12.159,1164.59,27119.06,26.66,27092.39,1.178,0.687,10.559,12.223,1059.77,33899.5,26.66,27092.39,1.0,0.687,10.495,12.223,2224.36
38,6510.69,0.0,0.0,1.235,0.703,11.071,12.351,1118.26,26040.15,26.66,26013.48,1.225,0.703,11.071,12.351,1017.74,32550.83,26.66,26013.48,1.0,0.703,11.071,12.351,2136.0
39,6270.07,0.0,0.0,1.281,0.711,11.071,12.415,1076.94,25077.8,26.66,25051.14,1.272,0.711,11.007,12.415,980.25,31347.87,26.66,25051.14,1.0,0.711,11.007,12.415,2057.19
40,6310.6,0.0,0.0,1.226,0.703,11.007,12.415,1083.9,25240.29,25.8,25214.49,1.225,0.703,11.007,12.351,986.47,31550.89,25.8,25214.49,1.0,0.703,11.007,12.351,2070.37
41,6543.77,0.0,0.0,1.268,0.703,11.135,12.415,1123.95,26172.46,27.58,26144.88,1.262,0.703,11.135,12.415,1023.01,32716.23,27.58,26144.88,1.0,0.703,11.135,12.415,2146.96
42,6213.36,0.0,0.0,1.285,0.719,11.199,12.671,1067.2,24850.27,26.5,24823.77,1.286,0.711,11.199,12.543,971.36,31063.63,26.5,24823.77,1.0,0.719,11.199,12.543,2038.56
43,6278.78,0.0,0.0,1.278,0.711,11.135,12.351,1078.43,25112.59,26.66,25085.93,1.271,0.711,11.071,12.351,981.61,31391.37,26.66,25085.93,1.0,0.711,11.071,12.351,2060.04
44,6550.29,0.0,0.0,1.227,0.695,10.879,12.351,1125.06,26198.62,26.66,26171.95,1.218,0.695,10.879,12.351,1023.91,32748.9,26.66,26171.95,1.0,0.695,10.879,12.351,2148.97
45,6355.13,0.0,0.0,1.258,0.703,11.007,12.351,1091.55,25417.77,26.66,25391.11,1.257,0.703,11.007,12.415,993.49,31772.9,26.66,25391.11,1.0,0.703,11.007,12.351,2085.04
46,6247.65,0.0,0.0,1.239,0.695,10.879,12.351,1073.09,24987.81,25.8,24962.0,1.237,0.695,10.879,12.351,976.64,31235.45,25.8,24962.0,1.0,0.695,10.879,12.351,2049.72
47,6586.19,0.0,0.0,1.26,0.703,10.879,12.287,1131.24,26341.7,27.58,26314.12,1.254,0.703,10.879,12.287,1029.6,32927.9,27.58,26314.12,1.0,0.703,10.879,12.287,2160.84
48,6276.89,0.0,0.0,1.28,0.711,11.071,12.415,1078.11,25105.14,26.66,25078.48,1.271,0.711,11.007,12.415,981.31,31382.04,26.66,25078.48,1.0,0.711,11.071,12.415,2059.43
49,6339.43,0.0,0.0,1.266,0.711,10.815,12.287,1088.85,25354.76,26.66,25328.09,1.259,0.703,10.751,12.287,991.04,31694.19,26.66,25328.09,1.0,0.711,10.751,12.287,2079.89
50,6567.34,0.0,0.0,1.222,0.695,10.815,12.351,1127.99,26267.56,26.66,26240.89,1.215,0.695,10.751,12.287,1026.6,32834.9,26.66,26240.89,1.0,0.695,10.815,12.287,2154.59
